,Date,Breed,Age,Sex,Altered,Borough,Zipcode
315,June 12 2015,Jack Russell Terrier,2,M,TRUE,Brooklyn,11235
316,June 12 2015,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11216
317,June 16 2015,Doberman X,1,F,FALSE,Brooklyn,11215
318,June 14 2015,American Eskimo,5,M,TRUE,Brooklyn,11230
319,June 19 2015,American Staffordshire Terrier,7,F,TRUE,Brooklyn,11233
320,June 18 2015,Boston Terr/Boxer X,NA,U,FALSE,Brooklyn,11228
321,June 07 2015,Chihuahua,3,M,TRUE,Brooklyn,11217
322,June 22 2015,Golden Retriever,12,F,TRUE,Brooklyn,11229
323,June 22 2015,Maltese/Chihuahua X,1,M,FALSE,Brooklyn,11217
324,June 21 2015,Chihuahua,NA,U,FALSE,Brooklyn,NA
325,June 19 2015,American Pitbull Terrier,5,M,TRUE,Brooklyn,11211
326,June 19 2015,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11229
327,June 18 2015,American Pitbull Terrier,2,M,TRUE,Brooklyn,11235
328,June 22 2015,Maltese,7,F,TRUE,Brooklyn,11220
329,June 21 2015,Jack Russell Terrier,12,F,TRUE,Brooklyn,NA
330,June 23 2015,American Pitbull Terrier,1,M,FALSE,Brooklyn,11233
331,June 24 2015,NA,NA,U,FALSE,Brooklyn,11226
332,June 24 2015,American Pitbull Terrier,NA,M,FALSE,Brooklyn,11230
333,June 26 2015,Unknown,NA,U,FALSE,Brooklyn,11220
334,June 24 2015,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11224
335,June 25 2015,American Staffordshire Terrier,3,M,FALSE,Brooklyn,NA
336,June 28 2015,American Pitbull Terrier,5,M,FALSE,Brooklyn,11203
337,June 23 2015,NA,NA,U,FALSE,Brooklyn,11232
338,June 26 2015,Maltese,1,M,FALSE,Brooklyn,11236
339,June 24 2015,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11231
340,June 11 2015,NA,NA,U,FALSE,Brooklyn,11206
341,June 21 2015,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11230
342,June 19 2015,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11229
343,June 21 2015,NA,2,M,FALSE,Brooklyn,11213
344,June 28 2015,NA,NA,U,FALSE,Brooklyn,NA
345,July 01 2015,Vizsla,4,M,TRUE,Brooklyn,11249
346,June 27 2015,NA,NA,U,FALSE,Brooklyn,11220
347,June 29 2015,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11224
348,July 02 2015,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11219
349,March 17 2015,Jack Russell Terrier,10,M,FALSE,Brooklyn,11221
350,June 30 2015,NA,NA,U,FALSE,Brooklyn,NA
