,Month,Day,Year,Breed,Age,Sex,Altered,Borough,Zipcode
265,June,04,2016,Pit Bull/Lab X,6,M,FALSE,Brooklyn,11209
266,June,05,2016,Poodle,2,M,FALSE,Brooklyn,11228
267,May,31,2016,Border Collie,NA,U,FALSE,Brooklyn,11228
268,June,03,2016,Chihuahua Mix,2,M,FALSE,Brooklyn,11221
269,June,04,2016,Unknown,3,F,TRUE,Brooklyn,11205
270,June,04,2016,NA,NA,U,FALSE,Brooklyn,11205
271,June,05,2016,American Pitbull Terrier Mix,NA,F,TRUE,Brooklyn,11218
272,May,31,2016,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11212
273,June,01,2016,Rottweiler,NA,U,FALSE,Brooklyn,11208
274,May,29,2016,Yorkshire Terrier,9,M,FALSE,Brooklyn,11220
275,June,09,2016,French Bulldog,4,M,TRUE,Brooklyn,NA
276,June,09,2016,American Pitbull Terrier,NA,M,TRUE,Brooklyn,11235
277,June,10,2016,Labrador Retriever,NA,M,TRUE,Brooklyn,11234
278,June,10,2016,NA,NA,M,FALSE,Brooklyn,11236
279,June,12,2016,Shih Tzu,NA,M,FALSE,Brooklyn,11233
280,June,11,2016,American Pitbull Terrier,0.333,M,FALSE,Brooklyn,11232
281,June,12,2016,American Pitbull Terrier,NA,M,TRUE,Brooklyn,11220
282,June,13,2016,American Pitbull Terrier,3,M,FALSE,Brooklyn,11221
283,June,13,2016,Terrier Hound X,1,M,TRUE,Brooklyn,11222
284,June,11,2016,American Bully,3,F,TRUE,Brooklyn,11228
285,June,11,2016,Pomeranian,8,M,FALSE,Brooklyn,NA
286,June,10,2016,Pit Bull/Rottweiler,3,M,FALSE,Brooklyn,11236
287,June,14,2016,Poodle,NA,U,FALSE,Brooklyn,11208
288,June,15,2016,American Pitbull Terrier Mix,2,M,FALSE,Brooklyn,11208
289,June,14,2016,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11224
290,June,12,2016,German Shepherd,NA,U,FALSE,Brooklyn,11207
291,June,16,2016,American Pitbull Terrier,2,F,TRUE,Brooklyn,11234
292,June,17,2016,American Pitbull Terrier Mix,3,M,FALSE,Brooklyn,11226
293,June,07,2016,Border Collie X,1,M,TRUE,Brooklyn,11221
294,June,12,2016,Dachshund,6,M,TRUE,Brooklyn,11215
295,June,17,2016,Yorkshire Terrier,2,M,FALSE,Brooklyn,11220
296,June,21,2016,Chihuahua Mix,9,M,TRUE,Brooklyn,11204
297,June,20,2016,Bulldog,NA,U,FALSE,Brooklyn,11207
298,June,20,2016,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11215
299,June,21,2016,Shih Tzu,1,M,FALSE,Brooklyn,11237
300,June,21,2016,Unknown,6,F,FALSE,Brooklyn,11208
301,June,22,2016,NA,NA,U,FALSE,Brooklyn,11236
302,June,22,2016,American Pitbull Terrier,2,U,FALSE,Brooklyn,11209
303,May,25,2016,German Shepherd,NA,M,TRUE,Brooklyn,11234
304,June,23,2016,Chihuahua,8,M,FALSE,Brooklyn,11203
305,June,22,2016,Lhasa Apso/Poodle X,3,M,FALSE,Brooklyn,11227
306,June,23,2016,Rottweiler,NA,U,FALSE,Brooklyn,11206
307,June,23,2016,American Pitbull Terrier Mix,4,F,TRUE,Brooklyn,NA
308,June,23,2016,American Pitbull Terrier Mix,6,F,TRUE,Brooklyn,11213
309,June,24,2016,American Staffordshire Terrier,3,M,TRUE,Brooklyn,11249
310,June,27,2016,Newfoundland,3,F,FALSE,Brooklyn,11209
311,June,26,2016,American Pitbull Terrier,1,M,TRUE,Brooklyn,11233
312,June,18,2016,German Shepherd,NA,U,FALSE,Brooklyn,11209
313,June,27,2016,Shih Tzu,NA,U,FALSE,Brooklyn,NA
314,June,22,2016,Bichon Frise,5,M,TRUE,Brooklyn,11215
315,June,29,2016,Jack Russell Terrier,8,M,TRUE,Brooklyn,11232
316,June,29,2016,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11215
317,June,25,2016,Lab Mix,9,M,TRUE,Brooklyn,11215
318,June,25,2016,American Pitbull Terrier Mix,1,M,TRUE,Brooklyn,11215
319,June,30,2016,Irish Wolfhound,NA,U,FALSE,Brooklyn,NA
320,June,29,2016,NA,NA,U,FALSE,Brooklyn,11215
321,June,30,2016,Lab Mix,8,M,FALSE,Brooklyn,11220
322,June,30,2016,NA,41,M,FALSE,Brooklyn,NA
323,July,03,2016,Boxer,8,M,FALSE,Brooklyn,11204
324,July,03,2016,NA,NA,U,FALSE,Brooklyn,NA
325,July,03,2016,Belgian Malinois,4,F,TRUE,Brooklyn,11218
326,July,04,2016,NA,NA,U,FALSE,Brooklyn,11216
327,July,02,2016,American Staffordshire Terrier,9,M,FALSE,Brooklyn,11233
328,June,19,2016,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11239
329,June,20,2016,NA,NA,U,FALSE,Brooklyn,11212
330,July,03,2016,Australian Kelpie,NA,U,FALSE,Brooklyn,NA
331,July,02,2016,American Pitbull Terrier Mix,3,M,FALSE,Brooklyn,11231
332,July,01,2016,Lab Mix,5,M,TRUE,Brooklyn,NA
333,July,02,2016,NA,NA,U,FALSE,Brooklyn,11223
334,July,07,2016,American Pitbull Terrier,3,M,FALSE,Brooklyn,11206
335,June,24,2016,Bulldog,3,M,TRUE,Brooklyn,11225
336,July,10,2016,Brussels Griffon,5,M,FALSE,Brooklyn,11208
337,July,10,2016,Chow Chow,4,M,FALSE,Brooklyn,11224
338,July,06,2016,Rottweiler,NA,U,FALSE,Brooklyn,11214
339,July,04,2016,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11235
340,July,02,2016,German Shepherd,1,F,TRUE,Brooklyn,11204
341,July,08,2016,American Staffordshire Terrier,2,M,TRUE,Brooklyn,11249
342,July,08,2016,Lab Mix,NA,U,FALSE,Brooklyn,11214
343,July,09,2016,Silky Terrier,2,M,TRUE,Brooklyn,11235
344,July,13,2016,American Pitbull Terrier Mix,2,M,FALSE,Brooklyn,11208
345,July,12,2016,NA,NA,U,FALSE,Brooklyn,NA
346,June,22,2016,NA,NA,U,FALSE,Brooklyn,NA
347,July,07,2016,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11228
348,July,06,2016,NA,NA,M,FALSE,Brooklyn,11210
349,July,10,2016,Maltese/Terrier X,8,M,TRUE,Brooklyn,NA
350,July,12,2016,Dachshund,NA,U,FALSE,Brooklyn,11214
351,July,09,2016,NA,NA,U,FALSE,Brooklyn,NA
352,July,14,2016,Silky Terrier,3,M,FALSE,Brooklyn,11204
353,July,14,2016,Mini Australian Shepherd,8,M,TRUE,Brooklyn,11205
354,July,16,2016,Pomeranian/Terrier,5,M,TRUE,Brooklyn,11237
355,July,15,2016,Bulldog,NA,U,FALSE,Brooklyn,11206
356,July,18,2016,American Pitbull Terrier,NA,M,FALSE,Brooklyn,11224
357,July,16,2016,NA,NA,U,FALSE,Brooklyn,11229
358,July,19,2016,Great Dane,1,F,TRUE,Brooklyn,11220
359,July,11,2016,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11215
360,July,17,2016,Boston Terrier,1,M,FALSE,Brooklyn,11233
361,July,19,2016,Mastiff,4,M,FALSE,Brooklyn,11216
362,July,20,2016,American Pitbull Terrier,1,M,FALSE,Brooklyn,11208
363,July,13,2016,Mix Breed/ Pit Bull,3,F,FALSE,Brooklyn,11214
364,July,22,2016,Shepherd/Pit Bull X,1,M,TRUE,Brooklyn,11209
365,July,23,2016,Shiba Inu,9,M,TRUE,Brooklyn,11211
366,July,25,2016,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11235
367,July,21,2016,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11208
368,July,25,2016,Siberian Husky,1,M,FALSE,Brooklyn,11214
369,July,22,2016,American Pitbull Terrier,2,M,FALSE,Brooklyn,NA
370,July,23,2016,Alaskan Malamute,0.833,M,FALSE,Brooklyn,11234
371,July,23,2016,Catahoula Cur,4,F,TRUE,Brooklyn,11209
372,July,23,2016,German Shepherd,7,M,TRUE,Brooklyn,11231
373,July,25,2016,Unknown,NA,U,FALSE,Brooklyn,11211
